positionLabel,itemLabel
Prime Minister,Aristides Gomes
Ministry of Territorial Administration and Electoral Management,Odete Costa Semedo
Ministry of Fisheries,Adiatu Djalo Nandigna
Ministry of Foreign Affairs and Communities,Suzi Barbosa
Ministry of Public Administration and Modernization of the State,Fatumata Djau Bucket
Ministry of Public Health,Magda Nely Robalo Silva
"Ministry of Women, Family and Social Protection",Cadi Seidi
Ministry of Justice and Human Rights,Rute Monteiro
Ministry of Agriculture and Forestry,Nelvina Barreto
Ministry of the Presidency of the Council of Ministers and Parliamentary Matters,Armando Mango
Ministry of the Interior,Juliano Augusto Fernandes
Ministry of Defense and Combatants of the Liberty of the Homeland,Luís Melo
Ministry of Economy and Finance,Geraldo João Martins
Ministry of Commerce and Industry,Iaia Djaló
Ministry of National Education and Higher Education,Dautarin Monteiro da Costa
Ministry of Natural Resources and Energy,Issufo Balde
"Ministry of Infrastructures, Housing and Human Development",Osvaldo Abreu
